-0.0005 -0.0005 -1.27233e+16 
-0.0005 -0.00049 -1.31107e+16 
-0.0005 -0.00048 -1.35098e+16 
-0.0005 -0.00047 -1.39207e+16 
-0.0005 -0.00046 -1.43435e+16 
-0.0005 -0.00045 -1.47783e+16 
-0.0005 -0.00044 -1.52253e+16 
-0.0005 -0.00043 -1.56844e+16 
-0.0005 -0.00042 -1.61558e+16 
-0.0005 -0.00041 -1.66392e+16 
-0.0005 -0.0004 -1.71347e+16 
-0.0005 -0.00039 -1.76422e+16 
-0.0005 -0.00038 -1.81613e+16 
-0.0005 -0.00037 -1.8692e+16 
-0.0005 -0.00036 -1.92337e+16 
-0.0005 -0.00035 -1.97863e+16 
-0.0005 -0.00034 -2.0349e+16 
-0.0005 -0.00033 -2.09215e+16 
-0.0005 -0.00032 -2.1503e+16 
-0.0005 -0.00031 -2.20928e+16 
-0.0005 -0.0003 -2.269e+16 
-0.0005 -0.00029 -2.32937e+16 
-0.0005 -0.00028 -2.39028e+16 
-0.0005 -0.00027 -2.45161e+16 
-0.0005 -0.00026 -2.51323e+16 
-0.0005 -0.00025 -2.57501e+16 
-0.0005 -0.00024 -2.63678e+16 
-0.0005 -0.00023 -2.69839e+16 
-0.0005 -0.00022 -2.75966e+16 
-0.0005 -0.00021 -2.8204e+16 
-0.0005 -0.0002 -2.88042e+16 
-0.0005 -0.00019 -2.93952e+16 
-0.0005 -0.00018 -2.99748e+16 
-0.0005 -0.00017 -3.05408e+16 
-0.0005 -0.00016 -3.1091e+16 
-0.0005 -0.00015 -3.1623e+16 
-0.0005 -0.00014 -3.21346e+16 
-0.0005 -0.00013 -3.26235e+16 
-0.0005 -0.00012 -3.30873e+16 
-0.0005 -0.00011 -3.35237e+16 
-0.0005 -0.0001 -3.39307e+16 
-0.0005 -9e-05 -3.43061e+16 
-0.0005 -8e-05 -3.46478e+16 
-0.0005 -7e-05 -3.49541e+16 
-0.0005 -6e-05 -3.52232e+16 
-0.0005 -5e-05 -3.54537e+16 
-0.0005 -4e-05 -3.56441e+16 
-0.0005 -3e-05 -3.57933e+16 
-0.0005 -2e-05 -3.59006e+16 
-0.0005 -1e-05 -3.59652e+16 
-0.0005 0 -3.59868e+16 
-0.0005 1e-05 -3.59652e+16 
-0.0005 2e-05 -3.59006e+16 
-0.0005 3e-05 -3.57933e+16 
-0.0005 4e-05 -3.56441e+16 
-0.0005 5e-05 -3.54537e+16 
-0.0005 6e-05 -3.52232e+16 
-0.0005 7e-05 -3.49541e+16 
-0.0005 8e-05 -3.46478e+16 
